"Chordata"
"Adriatic Sea","11%"
"Aegean-Levantine Sea","10%"
"Arctic Ocean","100%"
"Azores","2%"
"Baltic Sea","5%"
"Barents Sea","12%"
"Bay of Biscay and the Iberian Coast","2%"
"Black Sea","13%"
"Celtic Seas","0%"
"Faroes","9%"
"Greater North Sea","0%"
"Greenland Sea","17%"
"Iceland Sea","12%"
"Ionian Sea and the Central Mediterranean Sea","9%"
"Norwegian Sea","8%"
"Oceanic Northeast Atlantic","8%"
"Western Mediterranean Sea","6%"
