"Chordata"
"Adriatic Sea","11%"
"Aegean-Levantine Sea","7%"
"Arctic Ocean","58%"
"Azores","6%"
"Baltic Sea","3%"
"Barents Sea","13%"
"Bay of Biscay and the Iberian Coast","1%"
"Black Sea","11%"
"Celtic Seas","2%"
"Faroes","8%"
"Greater North Sea","0%"
"Greenland Sea","18%"
"Iceland Sea","11%"
"Ionian Sea and the Central Mediterranean Sea","1%"
"Norwegian Sea","8%"
"Oceanic Northeast Atlantic","12%"
"Western Mediterranean Sea","1%"
